AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,POSITION,FREQ,DFGM,DFGA,DFG%,DD FG%,DIFF%,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG,OPP RA FGM,OPP RA FGA,OPP RA FG%,OPP PAINT FGM,OPP PAINT FGA,OPP PAINT FG%,OPP MID-RANGE FGM,OPP MID-RANGE FGA,OPP MID-RANGE FG%,OPP LEFT CORNER 3 FGM,OPP LEFT CORNER 3 FGA,OPP LEFT CORNER 3 FG%,OPP RIGHT CORNER 3 FGM,OPP RIGHT CORNER 3 FGA,OPP RIGHT CORNER 3 FG%,OPP ABOVE THE BREAK 3 FGM,OPP ABOVE THE BREAK 3 FGA,OPP ABOVE THE BREAK 3 FG%,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
34,11,8,3,12.2,3.5,1.6,3.3,50.0,0.0,0.0,0.0,0.3,0.3,100.0,1.1,3.9,5.0,1.0,0.7,0.3,0.7,2.0,13.3,0,0,0.9,C,100.00%,2.6,5.6,46.4,47.1,-0.7,1.2,2.2,54.2,0.4,0.9,40,0.1,0.2,50,0,0,0,0,0,0,0,0,0,3.6,5.5,65.6,1.2,3.5,33.3,0.9,2.6,34.5,1.1,2.3,48,1.7,4.1,41.5,2.1,5,41.8,100.0,0.0,92.3,5.1,0.0,0.0,7.7,5.1,87.2,61.1,38.9,0.0,0.0,61.1,38.9
24,17,6,11,10.9,3.2,0.9,3.1,30.2,0.3,1.5,20.0,1.0,1.1,94.4,0.4,0.8,1.2,1.4,0.7,0.2,0.1,2.0,7.1,0,0,-1.3,G,100.00%,2.1,4.1,50.0,44.5,5.5,0.5,0.8,57.1,0.1,0.3,40,0.1,0.5,11.1,0,0.1,0,0.1,0.3,33.3,0.2,1.2,20,3.9,6.4,60.6,0.6,2.1,29.4,0.6,1.5,37.5,0.7,1.5,45.8,1.1,3,35.4,1.8,4.8,37,52.8,47.2,40.7,3.7,27.8,9.3,31.5,24.1,37.0,18.2,81.8,60.0,40.0,31.3,68.8
24,73,31,42,34.8,18.1,6.8,16.6,41.2,1.6,4.8,33.9,2.8,4.1,69.9,1.1,3.7,4.8,2.5,1.9,1.0,0.7,2.1,30.6,3,0,-0.9,F-G,100.00%,6.0,12.9,46.1,45.8,0.2,2.9,4.9,58.3,0.8,2.5,32.6,1.5,4.4,34.7,0.3,0.5,59,0.1,0.3,27.3,1.2,3.9,31.2,14.7,24.1,61,2.3,6.3,36.8,1.9,5,38.7,1.9,4.7,39.9,4.8,12.2,39.1,4.7,12.8,36.3,71.2,28.8,57.5,16.7,26.8,10.4,15.7,13.0,40.9,45.0,55.0,81.4,18.6,53.6,46.4
20,20,17,3,7.0,3.8,1.4,3.2,44.4,0.5,1.5,34.5,0.5,0.8,56.3,0.2,0.5,0.7,0.7,0.6,0.1,0.0,0.5,5.1,0,0,-2.6,G,100.00%,1.8,3.5,50.9,43.6,7.4,0.5,0.6,75,0.2,0.6,30,0.4,0.8,50,0.2,0.6,40,0,0,0,0.4,1.3,33.3,3.1,4.9,62.8,0.8,1.7,48.3,0.8,1.5,54.2,0.5,1.2,40,1,2.4,41.5,1.7,4.3,39,54.0,46.0,48.0,16.0,40.0,12.0,12.0,12.0,32.0,22.2,77.8,60.0,40.0,35.7,64.3
24,2,0,2,7.4,1.5,0.5,2.5,20.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,1.0,2.0,0.0,0.0,0.5,0.0,1.0,5.4,0,0,1.5,C,100.00%,3.0,6.0,50.0,52.2,-2.2,0.5,2,25,0,0.5,0,0,0,0,0,0,0,-,-,-,0,0,0,2.5,3.5,71.4,0,0,0,1,2,50,2,8,25,0,0,0,1,4,25,100.0,0.0,66.7,0.0,0.0,0.0,33.3,0.0,66.7,100.0,0.0,0.0,0.0,100.0,0.0
22,59,13,46,18.3,7.8,3.1,5.6,55.3,0.0,0.0,0.0,1.6,2.2,70.5,1.8,3.6,5.4,0.9,1.0,0.2,0.4,1.9,16.4,4,0,-1.4,C,100.00%,4.5,8.8,50.8,47.9,3.0,2.3,3.5,65.5,0.6,1.6,37.4,0.2,0.6,41.2,0,0,0,0,0,0,0,0,0,7.5,11.4,65.8,1.5,3.6,41.4,1.3,3.1,42.7,1.2,2.8,42.9,2,5.7,35.6,2.6,7.3,35,100.0,0.0,79.7,6.1,0.0,5.0,20.3,13.3,73.6,68.3,31.7,0.0,0.0,68.3,31.7
26,56,25,31,33.0,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12.0,3.9,2.0,1.6,2.4,2.4,56.1,37,0,2.4,F-C,100.00%,7.0,15.1,46.1,48.4,-2.3,5.5,7.7,71.6,1.6,3.9,42.2,1.5,4.2,35.5,0.1,0.1,83.3,0,0.1,20,0.8,2.4,31.6,13.6,21.6,63.2,2.2,5.8,38.6,2.2,5.2,42.3,1.9,4.9,39.1,3.9,10.4,37.8,5.2,14.8,35.1,85.9,14.1,66.4,11.4,9.9,10.7,23.7,17.1,55.0,61.8,38.2,100.0,0.0,65.3,34.7
34,65,27,38,16.6,5.0,1.5,4.0,38.2,1.2,3.3,37.7,0.7,0.9,78.3,0.2,2.5,2.7,0.7,0.6,0.3,0.3,1.4,10.5,0,0,-1.0,F,100.00%,2.9,6.3,46.1,45.6,0.5,0.2,0.4,48,0,0.1,22.2,0.1,0.1,44.4,0.2,0.5,34.5,0.2,0.6,34.4,0.9,2.4,38.7,7,11.2,62.2,1.1,2.8,38.3,1,2.4,40,1,2.4,39.3,2.5,6.3,39.5,2.1,6.2,33.2,17.0,83.0,11.0,2.5,74.5,13.8,14.4,16.3,8.6,61.1,38.9,100.0,0.0,92.9,7.1
22,57,14,43,14.5,7.3,2.9,6.9,41.9,0.6,1.6,39.6,0.9,1.3,65.8,0.1,1.7,1.9,0.7,0.6,0.2,0.2,0.7,11.2,0,0,-2.6,G,100.00%,2.3,4.3,53.6,43.3,10.3,0.7,1.2,62.1,0.9,2.1,41.9,0.8,2.3,33.3,0.3,0.6,51.6,0.1,0.2,50,0.3,0.9,30,6.4,10.4,61.6,1,2.4,43.5,0.8,1.6,48.3,1,2.3,42.5,1.8,4.8,37.1,2.3,6.7,33.8,77.0,23.0,62.2,19.1,25.8,10.5,12.0,12.9,43.1,38.5,61.5,83.3,16.7,48.2,51.8
32,51,32,19,16.1,5.6,2.1,4.4,47.1,0.4,1.2,34.4,1.0,1.2,85.5,1.7,3.0,4.7,1.1,0.8,0.2,0.7,2.5,14.8,3,0,2.5,C-F,100.00%,4.8,10.0,47.5,48.0,-0.6,1.2,2.3,54.8,0.3,0.5,46.4,0.2,0.4,42.1,0,0.1,40,0,0.1,33.3,0.3,1,34,5.9,9.8,59.7,1.3,3.2,40.5,0.9,2.4,38.3,1,2.3,42,1.7,4.6,36.6,2.3,6.8,33.7,72.6,27.4,59.2,5.6,22.2,4.2,18.7,13.4,53.5,66.7,33.3,100.0,0.0,73.3,26.7
