,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
166,Frank Mason,19.1,2.2,0.2,4.2,3.7,1.1,2.0,54.3,0.6,15.0,0.4,0.4,2.3,1.3,26.2,9.5,2.1,4.79,4.61,0.2,0.0,0.5,4510.3,0.46,0.4,4.16,SAC
167,Frank Ntilikina,30.8,2.8,0.2,5.4,4.9,2.1,2.0,41.1,0.5,10.1,2.0,1.9,2.7,0.7,40.2,17.5,2.8,4.17,3.66,0.2,0.1,0.1,8407.1,0.84,0.75,4.23,NYK
168,Fred VanVleet,42.9,4.8,0.7,8.9,8.7,2.5,5.1,58.7,1.2,14.2,3.0,2.9,3.3,1.7,56.1,26.8,4.1,4.41,4.2,0.2,0.0,0.5,11292.9,1.16,0.98,4.36,TOR
169,Furkan Korkmaz,12.3,1.1,0.2,1.6,1.5,0.7,0.6,40.8,0.2,12.7,2.5,2.4,1.3,0.6,19.0,14.9,0.6,1.9,1.16,0.4,0.0,0.6,6077.0,0.63,0.52,4.53,PHI
170,Garrett Temple,26.9,1.4,0.5,3.0,2.0,0.8,0.8,40.5,0.1,7.4,3.0,2.9,1.6,0.6,36.1,25.4,1.5,2.45,1.67,0.6,0.0,0.8,10942.1,1.12,0.96,4.27,LAC
171,Gary Clark,10.0,0.4,0.1,0.9,0.4,0.1,0.2,47.6,0.0,9.5,2.5,2.5,0.2,0.2,13.5,6.5,0.3,1.41,0.42,0.2,0.0,0.4,4795.2,0.47,0.44,4.05,HOU
172,Gary Harris,21.0,2.2,0.5,4.1,7.7,3.8,2.7,34.9,0.5,6.6,3.4,3.0,3.0,1.2,35.9,29.1,1.5,2.57,2.09,0.4,0.0,0.8,11270.4,1.14,0.99,4.18,DEN
173,Gary Payton II,6.7,1.3,0.0,1.7,0.3,0.0,0.3,100.0,0.0,0.0,0.7,0.7,0.0,0.0,10.0,4.0,0.5,2.99,2.17,0.0,0.0,1.3,2532.7,0.23,0.25,4.78,WAS
174,Gary Trent Jr.,4.5,0.3,0.0,0.8,1.0,0.4,0.3,33.3,0.1,13.3,0.7,0.7,1.9,0.7,8.8,6.4,0.5,3.71,2.98,0.1,0.5,0.3,2838.1,0.3,0.24,4.1,POR
175,George Hill,28.3,2.3,0.2,3.9,3.4,1.6,1.4,41.7,0.3,8.3,1.9,1.8,1.9,0.7,37.4,17.6,2.5,3.99,3.35,0.5,0.1,1.2,8724.5,0.89,0.77,4.25,MIL
176,George King,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,6.0,3.0,0.2,2.06,0.83,0.0,0.0,0.0,2499.0,0.25,0.23,4.58,PHX
177,Georges Niang,9.7,0.6,0.1,0.9,1.8,0.7,0.7,40.7,0.1,7.4,1.7,1.7,0.3,0.1,13.7,7.2,0.5,1.97,1.17,0.1,0.1,0.2,3665.8,0.38,0.32,4.43,UTA
178,Gerald Green,15.0,0.5,0.1,1.2,1.9,0.9,0.6,33.1,0.2,9.4,4.5,4.4,2.1,1.6,24.4,14.4,0.8,1.95,1.03,0.1,0.0,0.4,7984.1,0.8,0.71,4.21,HOU
179,Giannis Antetokounmpo,54.3,5.9,0.6,11.5,12.5,4.8,4.4,35.2,0.9,7.5,1.0,0.9,4.0,1.8,82.5,41.3,4.6,3.35,2.37,3.5,4.6,6.2,12877.9,1.35,1.09,4.17,MIL
180,Glenn Robinson III,13.5,0.4,0.1,1.2,1.7,0.9,0.5,30.8,0.1,5.1,1.4,1.3,0.6,0.0,18.5,12.3,0.6,1.85,0.91,0.3,0.0,1.0,5705.0,0.6,0.48,4.66,DET
181,Goran Dragic,41.9,4.8,0.7,8.2,11.0,4.3,5.3,48.4,1.5,13.7,2.9,2.8,4.0,1.6,58.9,25.2,4.1,4.17,3.72,1.1,0.1,1.1,11369.0,1.21,0.94,4.35,MIA
182,Gordon Hayward,32.8,3.4,0.3,6.4,5.7,1.9,2.5,45.0,0.6,9.8,2.9,2.4,2.8,0.8,45.5,27.9,2.0,2.65,1.76,1.4,0.3,1.7,10766.6,1.11,0.93,4.42,BOS
183,Gorgui Dieng,18.8,0.9,0.1,1.7,0.6,0.3,0.2,26.7,0.0,6.7,1.8,0.6,1.0,0.1,25.6,14.3,0.8,1.8,0.68,2.0,0.6,2.7,5369.5,0.54,0.47,4.18,MIN
184,Grayson Allen,9.1,0.7,0.1,1.4,4.2,1.4,1.8,43.1,0.3,6.3,2.0,2.0,1.3,0.6,16.0,10.6,0.9,3.48,2.79,0.1,0.0,0.2,4550.1,0.48,0.38,4.38,UTA
185,Greg Monroe,13.1,0.6,0.0,1.2,0.7,0.5,0.1,12.9,0.0,0.0,0.3,0.1,0.0,0.0,19.3,11.9,0.6,1.88,0.63,1.8,1.9,3.4,4296.1,0.44,0.38,4.06,PHI
186,Guerschon Yabusele,6.7,0.4,0.0,0.7,0.3,0.2,0.0,8.3,0.0,0.0,0.8,0.7,0.0,0.0,9.4,6.1,0.3,1.83,0.7,0.6,0.9,0.9,2440.4,0.24,0.22,4.22,BOS
187,Hamidou Diallo,4.5,0.3,0.1,0.5,1.3,0.8,0.2,16.9,0.0,1.5,0.5,0.5,0.2,0.0,9.1,6.3,0.3,2.23,1.73,0.3,0.0,1.4,4365.4,0.42,0.4,4.39,OKC
188,Harrison Barnes,33.7,1.5,0.2,2.8,5.0,3.1,1.0,19.6,0.3,5.5,4.8,4.5,3.2,1.1,50.8,30.8,1.9,2.22,1.13,0.7,3.3,1.8,13371.7,1.38,1.15,4.32,SAC
189,Harry Giles III,14.7,1.5,0.1,2.3,1.1,0.6,0.2,16.4,0.0,1.6,1.0,0.1,0.5,0.0,23.4,15.9,0.8,1.93,0.7,3.8,2.9,4.2,5651.4,0.56,0.51,4.22,SAC
190,Hassan Whiteside,18.6,0.8,0.1,1.6,0.5,0.3,0.1,25.0,0.0,2.8,0.9,0.2,0.3,0.0,31.3,18.9,0.9,1.65,0.54,3.1,2.8,9.4,8535.2,0.86,0.76,3.91,MIA
