,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
343,Malik Beasley,14.1,1.2,0.4,2.0,2.5,1.5,0.5,22.1,0.2,7.5,4.2,4.1,2.2,0.9,24.9,19.4,0.8,2.01,1.23,0.3,0.0,0.6,9061.3,0.92,0.79,4.14,DEN
344,Malik Monk,12.3,1.6,0.1,3.0,5.1,1.8,2.2,42.5,0.7,13.1,3.2,3.1,2.6,1.4,23.0,16.1,1.1,2.88,2.56,0.2,0.0,0.4,7048.2,0.74,0.6,4.34,CHA
345,MarShon Brooks,14.0,0.9,0.1,1.5,4.0,2.0,1.4,34.5,0.1,3.4,0.9,0.8,2.4,1.0,21.7,13.6,1.4,3.87,2.97,0.4,0.0,0.8,5200.1,0.54,0.45,4.14,MEM
346,Marc Gasol,58.3,4.4,0.5,7.0,1.5,0.8,0.5,35.0,0.1,5.8,5.3,3.3,1.4,0.1,74.0,49.2,2.0,1.66,0.45,7.8,6.5,5.7,10628.1,1.1,0.91,3.67,TOR
347,Marcin Gortat,29.2,1.4,0.2,2.4,0.1,0.1,0.0,25.0,0.0,0.0,0.6,-,0.1,-,34.9,20.0,0.9,1.49,0.38,3.0,1.2,4.6,6330.1,0.65,0.55,4.27,LAC
348,Marco Belinelli,21.1,1.7,0.6,2.7,2.0,0.9,0.7,36.8,0.2,8.4,4.1,3.3,3.2,1.6,32.0,22.7,1.3,2.42,1.65,0.8,0.1,0.7,9565.8,1.02,0.79,4.48,SAS
349,Marcus Derrickson,4.5,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.5,0.9,0.4,8.1,6.0,0.3,1.92,0.81,0.5,0.9,0.9,2395.0,0.25,0.2,4.16,GSW
350,Marcus Morris Sr.,29.7,1.5,0.3,2.9,3.1,1.9,0.6,20.7,0.1,4.7,4.5,4.2,3.5,0.9,43.9,25.4,1.5,2.02,1.02,1.1,1.5,1.9,10665.9,1.09,0.93,4.1,BOS
351,Marcus Smart,36.2,4.0,0.5,6.9,3.5,1.1,1.8,52.1,0.6,15.6,3.3,3.2,1.7,1.1,46.6,23.8,2.6,3.39,2.59,0.6,1.0,1.7,10524.1,1.04,0.96,4.09,BOS
352,Mario Hezonja,26.5,1.5,0.3,2.7,4.7,2.5,1.2,25.9,0.2,5.2,1.9,1.8,2.1,0.7,38.4,18.4,2.0,3.05,2.02,0.6,0.2,1.3,8398.1,0.87,0.72,4.31,NYK
353,Markelle Fultz,39.9,3.1,0.3,6.4,7.4,3.5,2.8,38.6,0.5,6.4,0.8,0.6,3.3,0.1,52.7,18.5,4.1,4.68,4.47,0.7,0.2,2.3,9771.8,1.01,0.84,4.64,ORL
354,Markieff Morris,21.2,1.4,0.2,2.3,1.1,0.7,0.3,26.6,0.1,10.9,3.8,3.4,1.1,0.1,31.8,19.7,0.8,1.45,0.51,1.4,2.9,2.6,7977.7,0.78,0.73,3.84,OKC
355,Marquese Chriss,14.6,0.5,0.1,1.2,0.7,0.3,0.1,14.3,0.0,0.0,1.6,1.6,0.1,0.1,20.4,10.5,0.5,1.5,0.52,0.7,0.4,2.7,4623.9,0.48,0.4,4.27,CLE
356,Marvin Bagley III,23.2,1.0,0.1,1.8,1.8,1.1,0.2,12.7,0.1,3.6,1.9,1.2,1.4,0.2,39.3,23.3,1.4,2.07,0.85,3.3,5.5,5.9,10494.3,1.05,0.94,4.39,SAC
357,Marvin Williams,26.9,1.2,0.1,2.0,1.3,1.0,0.2,13.9,0.1,4.0,5.2,4.9,0.8,0.2,37.2,23.4,0.8,1.28,0.48,0.6,1.1,1.7,10774.4,1.09,0.95,4.06,CHA
358,Mason Plumlee,29.2,3.0,0.1,4.9,1.3,0.5,0.5,35.5,0.1,4.7,0.2,0.1,0.4,0.0,38.3,24.4,1.4,2.13,0.96,2.8,3.3,6.2,8265.0,0.84,0.72,4.16,DEN
359,Matthew Dellavedova,30.7,3.8,0.3,7.0,4.8,1.9,2.2,45.0,0.7,14.7,1.8,1.8,1.7,0.9,39.0,14.8,3.2,4.99,4.78,0.1,0.3,0.3,6695.2,0.71,0.56,4.2,CLE
360,Maurice Harkless,20.9,1.2,0.2,2.3,1.5,0.8,0.4,29.9,0.2,12.6,1.9,1.9,0.4,0.1,29.1,17.4,0.9,1.82,0.82,0.7,1.5,2.9,9447.4,0.96,0.83,4.25,POR
361,Maxi Kleber,28.4,1.0,0.1,2.0,1.2,0.5,0.4,34.5,0.1,4.8,3.1,3.0,0.5,0.1,35.7,20.1,0.8,1.36,0.33,0.6,0.6,2.1,8300.0,0.88,0.7,4.14,DAL
362,Melvin Frazier Jr.,2.1,0.1,0.0,0.3,0.8,0.5,0.2,25.0,0.0,0.0,0.5,0.5,0.5,0.1,4.6,4.1,0.2,2.23,1.48,0.3,0.0,0.6,1975.5,0.21,0.16,4.54,ORL
363,Meyers Leonard,20.3,1.2,0.1,1.9,0.4,0.2,0.1,36.4,0.1,18.2,1.9,1.7,0.3,0.1,25.4,15.6,0.7,1.71,0.38,1.1,0.6,2.4,5274.1,0.54,0.45,3.89,POR
364,Michael Beasley,11.5,1.0,0.1,2.0,3.7,2.6,0.7,17.9,0.2,4.2,0.7,0.5,1.1,0.2,19.3,12.0,0.8,2.35,1.4,1.7,1.4,1.6,4279.5,0.43,0.38,4.29,LAL
365,Michael Carter-Williams,22.3,2.5,0.1,5.4,5.9,2.0,2.8,47.9,0.5,9.1,0.9,0.9,0.8,0.4,30.1,8.9,2.5,4.97,4.59,0.2,0.1,0.8,5619.3,0.58,0.49,4.46,ORL
366,Michael Kidd-Gilchrist,18.4,1.0,0.1,2.1,2.1,1.4,0.4,17.6,0.1,2.9,1.2,0.7,0.6,0.1,25.6,14.1,0.7,1.74,0.99,0.9,0.4,2.7,7579.6,0.76,0.68,4.35,CHA
367,Mikal Bridges,28.5,2.1,0.2,3.9,2.6,1.2,1.0,38.0,0.3,12.0,3.4,3.4,0.9,0.4,37.5,23.8,1.1,1.8,0.89,0.6,0.2,1.1,12012.3,1.2,1.08,4.32,PHX
368,Mike Conley,59.4,6.4,0.9,12.4,13.3,6.1,5.2,39.2,1.1,8.5,3.0,2.7,7.5,3.4,83.2,38.2,6.7,4.8,4.37,1.0,0.1,0.8,13604.3,1.47,1.11,4.31,MEM
369,Mike Muscala,30.2,1.2,0.2,2.5,0.4,0.2,0.2,40.0,0.0,4.0,4.3,3.9,0.1,0.0,37.8,19.8,0.8,1.2,0.23,1.3,0.3,1.7,8663.5,0.9,0.74,4.49,LAL
370,Mike Scott,19.4,0.8,0.1,1.2,0.8,0.4,0.2,24.2,0.1,8.1,3.1,2.9,0.7,0.3,25.9,14.0,0.7,1.51,0.68,0.6,0.5,0.9,7201.3,0.73,0.63,4.3,PHI
371,Miles Bridges,18.5,1.2,0.1,2.0,2.6,1.5,0.7,27.3,0.2,5.9,2.1,2.0,0.9,0.5,26.3,16.4,0.8,1.76,0.88,0.4,0.6,1.9,8699.3,0.88,0.76,4.39,CHA
372,Miles Plumlee,13.8,0.9,0.1,1.0,0.4,0.3,0.1,14.3,0.0,0.0,0.1,-,0.0,-,18.0,11.1,0.5,1.63,0.48,1.8,0.2,3.7,4187.1,0.42,0.38,4.57,ATL
373,Milos Teodosic,17.5,2.1,0.1,3.4,2.7,0.4,1.9,68.3,0.5,17.1,1.3,1.3,0.9,0.5,22.6,9.7,1.4,3.71,3.22,0.0,0.0,0.1,4181.7,0.44,0.35,4.4,LAC
374,Mitchell Creek,7.4,1.2,0.2,1.2,1.2,0.6,0.6,50.0,0.0,0.0,0.4,0.4,0.2,0.0,11.0,8.0,0.3,1.81,1.18,1.2,0.2,1.0,3896.0,0.39,0.35,4.28,MIN
375,Mitchell Robinson,17.4,0.6,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,23.6,13.2,0.5,1.35,0.28,1.7,0.4,6.2,8153.1,0.81,0.74,4.18,NYK
376,Mo Bamba,19.4,0.8,0.0,1.2,0.4,0.2,0.0,5.6,0.0,0.0,1.9,1.3,0.3,0.0,26.3,14.1,0.7,1.58,0.46,2.0,1.0,3.4,6501.2,0.67,0.57,4.23,ORL
377,Monte Morris,42.5,3.6,0.4,6.9,5.4,2.8,2.2,41.2,0.6,11.6,2.3,2.1,3.3,0.6,53.5,22.3,3.9,4.4,4.21,0.6,0.1,0.6,9701.6,1.02,0.82,4.29,DEN
378,Montrezl Harrell,32.1,2.0,0.1,2.9,1.5,1.0,0.1,7.3,0.0,1.6,0.3,0.1,0.7,0.1,48.0,32.0,1.6,1.97,0.86,4.3,3.9,8.2,9836.4,0.99,0.88,3.93,LAC
379,Moritz Wagner,10.1,0.6,0.1,0.9,1.5,0.7,0.4,27.0,0.0,3.2,1.7,1.7,0.3,0.1,15.8,9.7,0.4,1.66,0.76,0.4,0.7,1.1,4134.3,0.43,0.35,4.23,LAL
380,Myles Turner,36.8,1.6,0.1,2.3,0.7,0.4,0.1,15.1,0.1,7.5,5.4,2.5,0.8,0.1,50.4,29.4,1.2,1.44,0.46,3.5,2.3,4.3,10939.4,1.12,0.95,4.07,IND
381,Naz Mitrou-Long,7.4,1.1,0.1,2.0,2.6,0.6,1.6,62.2,0.6,21.6,0.3,0.3,0.5,0.5,9.9,4.5,0.7,4.44,4.21,0.1,0.0,0.1,2433.6,0.25,0.21,4.29,UTA
382,Nemanja Bjelica,29.5,1.9,0.2,3.1,3.0,1.3,1.1,35.5,0.4,12.3,3.0,2.9,0.7,0.4,39.7,22.6,1.1,1.66,0.68,0.7,1.0,3.1,9200.1,0.91,0.83,4.24,SAC
383,Nene,14.2,0.6,0.1,1.5,0.5,0.3,0.1,22.7,0.0,0.0,0.7,0.0,0.1,0.0,18.2,9.7,0.5,1.77,0.48,1.9,0.4,2.2,4967.3,0.5,0.45,4.05,HOU
384,Nerlens Noel,16.1,0.6,0.1,1.3,0.3,0.1,0.1,21.1,0.0,0.0,0.6,-,0.2,-,21.2,9.6,0.5,1.48,0.39,2.1,0.1,4.3,5574.3,0.54,0.52,4.24,OKC
385,Nick Young,4.3,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.5,1.5,0.8,0.5,7.0,4.8,0.2,1.54,0.71,0.0,0.0,0.0,3475.8,0.35,0.31,3.93,DEN
386,Nicolas Batum,33.4,3.3,0.3,6.1,3.3,1.4,1.4,43.5,0.3,8.1,3.1,2.9,2.3,1.1,44.1,30.7,1.6,2.24,1.45,0.4,0.2,1.4,12717.2,1.28,1.13,4.33,CHA
387,Nik Stauskas,13.8,1.2,0.2,2.4,2.9,1.0,1.5,50.5,0.4,15.3,1.7,1.6,2.0,1.1,20.5,14.4,0.8,2.37,1.76,0.3,0.0,0.3,6172.1,0.67,0.5,4.41,CLE
388,Nikola Jokic,71.3,7.3,0.5,11.2,3.7,1.7,1.3,34.4,0.4,10.0,3.9,2.9,1.2,0.4,93.5,55.9,3.6,2.33,1.13,7.0,7.7,6.7,11541.5,1.2,0.98,3.95,DEN
389,Nikola Mirotic,34.2,1.2,0.2,2.0,1.2,0.7,0.3,27.3,0.2,14.5,6.1,5.8,2.3,1.0,48.6,25.1,1.4,1.74,0.6,0.5,1.7,2.7,10961.4,1.08,1.0,4.29,MIL
390,Nikola Vucevic,49.3,3.8,0.3,7.0,2.3,1.2,0.7,29.4,0.1,6.1,5.6,2.7,1.1,0.0,70.6,46.7,2.0,1.71,0.66,5.9,9.2,9.7,11473.2,1.17,1.0,3.92,ORL
391,Noah Vonleh,39.5,1.9,0.2,4.0,2.4,1.2,0.6,23.4,0.1,3.2,1.9,1.8,0.4,0.1,49.1,24.1,1.6,1.94,1.1,1.5,2.7,2.7,10057.7,1.04,0.87,4.24,NYK
392,Norman Powell,18.3,1.5,0.2,2.9,5.1,2.2,2.0,40.0,0.4,7.9,2.3,2.2,1.3,0.7,27.3,17.4,1.3,2.86,2.35,0.3,0.0,0.7,7815.4,0.8,0.68,4.38,TOR
393,OG Anunoby,16.9,0.7,0.1,1.3,2.3,1.0,0.9,40.4,0.2,7.7,2.8,2.7,0.5,0.3,24.5,15.1,0.8,1.87,0.98,0.4,0.3,1.3,8365.9,0.83,0.75,4.37,TOR
394,Okaro White,2.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,3.7,1.7,0.1,2.01,0.91,0.0,0.0,0.3,856.7,0.09,0.07,4.27,WAS
395,Omari Spellman,25.8,1.0,0.1,2.0,0.7,0.2,0.3,45.5,0.1,9.1,3.0,2.8,0.2,0.0,32.9,18.6,0.8,1.37,0.34,1.1,0.2,2.9,7375.8,0.76,0.64,4.46,ATL
396,Omri Casspi,17.0,0.7,0.2,1.2,2.1,1.2,0.6,28.6,0.1,6.5,0.9,0.9,0.3,0.2,23.7,15.1,0.8,1.91,0.86,0.8,0.3,2.0,5731.6,0.59,0.49,4.21,MEM
397,Otto Porter Jr.,28.9,2.2,0.3,4.1,3.0,1.6,1.0,33.1,0.3,9.6,4.2,3.6,4.2,0.9,43.5,24.4,1.6,2.24,1.26,1.0,0.8,2.1,12363.8,1.25,1.09,4.38,CHI
398,P.J. Tucker,28.0,1.2,0.1,2.5,1.3,0.4,0.7,53.3,0.2,12.1,4.6,4.6,0.2,0.1,35.7,18.9,0.8,1.29,0.51,0.7,0.1,1.8,12750.6,1.24,1.17,3.98,HOU
399,PJ Dozier,10.5,0.8,0.3,1.7,1.2,0.5,0.5,42.9,0.2,14.3,1.5,1.3,0.7,0.0,14.3,9.0,0.5,1.99,1.23,0.5,0.0,1.0,3296.0,0.33,0.29,4.05,BOS
400,Pascal Siakam,42.3,3.1,0.5,6.1,7.6,3.7,2.6,33.7,0.5,7.1,2.7,2.5,0.8,0.1,59.1,31.4,2.5,2.55,1.74,1.7,2.3,3.6,13054.4,1.33,1.14,4.36,TOR
401,Pat Connaughton,23.0,2.0,0.1,3.1,2.4,0.8,1.2,51.7,0.3,13.6,3.0,3.0,0.5,0.3,30.4,19.1,1.1,2.11,1.14,0.6,0.0,1.9,8513.8,0.85,0.76,4.35,MIL
402,Patrick Beverley,39.3,3.8,0.3,6.4,5.0,1.8,2.5,50.5,0.6,11.5,2.7,2.7,1.2,0.8,48.8,23.8,2.8,3.42,2.8,0.4,0.0,0.9,11389.3,1.16,1.0,4.4,LAC
403,Patrick McCaw,12.9,1.0,0.2,1.9,1.6,0.6,0.8,46.8,0.2,10.6,0.9,0.9,0.3,0.1,16.2,9.3,0.6,2.14,1.38,0.1,0.0,0.4,5536.0,0.53,0.51,4.25,TOR
404,Patrick Patterson,15.0,0.5,0.1,0.9,0.3,0.1,0.1,56.3,0.0,12.5,2.4,2.1,0.1,0.0,19.2,8.2,0.4,1.21,0.27,0.5,0.4,1.2,5634.0,0.57,0.5,4.33,OKC
405,Patty Mills,31.9,3.0,0.5,5.2,3.7,1.0,2.3,62.0,0.5,12.3,3.3,3.0,3.3,1.9,42.7,16.3,3.0,4.2,4.4,0.4,0.0,0.4,9806.3,1.04,0.82,4.49,SAS
406,Pau Gasol,24.7,1.7,0.0,3.2,0.6,0.4,0.2,27.8,0.0,5.6,1.1,0.4,0.2,0.0,29.7,16.6,0.8,1.62,0.33,2.5,1.5,2.2,4619.6,0.48,0.39,4.11,MIL
407,Paul George,31.1,4.1,0.3,7.8,10.0,4.5,3.3,32.9,0.9,9.5,5.9,5.4,8.3,4.2,59.7,36.2,3.4,3.39,2.64,2.1,1.5,2.1,14221.9,1.4,1.29,4.09,OKC
408,Paul Millsap,27.6,2.0,0.3,3.6,3.1,1.7,0.7,23.1,0.2,5.6,2.3,2.0,1.6,0.3,41.5,26.2,1.6,2.33,1.24,1.4,3.2,4.7,10282.4,1.05,0.9,4.05,DEN
409,Quincy Acy,17.1,0.8,0.2,1.7,0.2,0.0,0.2,100.0,0.0,0.0,1.6,1.5,0.0,0.0,19.7,10.1,0.4,1.27,0.25,0.7,0.1,1.3,4953.0,0.51,0.42,4.22,PHX
410,Quincy Pondexter,6.2,0.5,0.1,0.7,0.9,0.3,0.3,36.7,0.1,8.2,0.3,0.3,0.2,0.1,8.3,5.0,0.5,3.31,2.28,0.1,0.0,0.3,2234.0,0.24,0.19,4.28,SAS
411,Quinn Cook,25.4,1.6,0.2,3.2,2.4,1.1,1.1,44.2,0.2,8.3,1.7,1.6,2.7,1.0,33.1,16.3,2.1,3.77,3.78,0.2,0.0,0.4,5881.5,0.61,0.5,4.45,GSW
412,RJ Hunter,20.0,3.0,1.0,6.0,2.0,1.0,1.0,50.0,0.0,0.0,7.0,7.0,4.0,3.0,34.0,27.0,1.5,2.68,1.65,1.0,0.0,0.0,9363.0,0.93,0.84,3.92,BOS
413,Rajon Rondo,57.0,8.0,0.6,14.8,9.9,4.4,4.3,43.5,1.2,12.5,1.5,1.5,3.0,1.5,71.3,25.5,5.5,4.61,4.02,0.9,0.1,1.1,11228.6,1.14,0.99,4.01,LAL
414,Raul Neto,22.8,2.5,0.5,4.8,7.1,2.1,3.9,55.2,1.1,15.7,1.2,1.1,1.1,0.5,29.6,13.1,2.1,4.18,4.41,0.2,0.0,0.3,5475.0,0.57,0.46,4.53,UTA
415,Rawle Alkins,6.4,1.3,0.0,2.0,3.4,1.2,1.7,50.0,0.5,14.7,0.8,0.8,0.6,0.4,11.7,8.8,0.5,2.4,1.86,0.3,0.0,1.3,4871.1,0.5,0.42,4.29,CHI
416,Ray Spalding,9.7,0.4,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,14.4,7.3,0.3,1.34,0.56,1.1,0.1,3.0,4405.2,0.44,0.39,4.41,PHX
417,Raymond Felton,13.8,1.6,0.1,3.0,2.0,1.0,0.8,38.5,0.3,13.8,1.4,1.3,1.9,0.5,19.1,8.6,1.4,4.55,3.98,0.1,0.0,0.1,4367.2,0.42,0.41,3.98,OKC
418,Reggie Bullock,27.0,2.0,0.3,2.9,2.1,0.9,0.9,42.5,0.2,11.2,5.8,5.5,1.9,0.8,38.9,29.3,1.1,1.69,0.74,0.6,0.0,0.9,12082.5,1.26,1.02,4.29,LAL
419,Reggie Jackson,50.5,4.2,0.6,7.6,8.8,4.4,3.2,36.8,0.6,6.4,4.0,3.9,4.6,1.7,69.4,26.1,5.4,4.69,4.21,0.4,0.2,0.6,10912.8,1.17,0.89,4.2,DET
420,Richaun Holmes,16.2,0.9,0.1,1.6,0.8,0.7,0.1,6.9,0.0,1.7,0.4,-,0.1,-,23.7,15.2,0.6,1.65,0.46,3.2,0.6,5.3,6468.9,0.65,0.58,4.03,PHX
421,Ricky Rubio,55.7,6.1,1.0,11.1,12.0,3.6,6.4,53.5,1.8,15.0,2.8,2.7,4.3,1.0,72.9,31.9,5.4,4.45,4.1,0.4,0.0,0.5,11221.8,1.19,0.93,4.31,UTA
422,Robert Covington,25.9,1.3,0.3,2.5,2.3,1.2,0.5,23.5,0.1,4.9,5.9,5.5,1.7,0.9,39.9,25.2,1.1,1.73,0.68,0.6,0.1,1.1,13265.7,1.31,1.2,4.1,MIN
423,Robert Williams III,9.1,0.2,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,11.5,6.8,0.3,1.39,0.34,1.0,0.2,2.4,3436.0,0.33,0.32,4.11,BOS
424,Robin Lopez,19.0,1.2,0.1,1.9,0.8,0.5,0.2,19.0,0.0,3.4,0.9,0.4,0.2,0.0,28.5,21.1,1.0,2.0,0.83,3.6,4.0,4.6,8240.8,0.85,0.71,4.09,CHI
425,Rodions Kurucs,17.9,0.8,0.1,1.7,3.2,1.6,0.8,25.4,0.2,6.0,2.8,2.7,0.4,0.2,27.7,15.4,0.8,1.77,1.11,0.1,0.1,1.9,8974.0,0.94,0.76,4.65,BKN
426,Rodney Hood,22.6,1.8,0.1,3.3,4.4,2.5,1.3,30.3,0.3,6.3,2.3,2.0,4.3,1.2,34.5,23.9,1.6,2.87,2.08,0.4,0.6,0.5,10369.7,1.12,0.85,4.2,POR
427,Rodney McGruder,22.7,1.7,0.1,3.4,4.8,2.2,2.0,40.9,0.5,9.7,3.0,2.9,1.0,0.5,31.9,19.8,1.3,2.39,1.79,0.6,0.0,1.4,10130.2,1.06,0.86,4.57,LAC
428,Ron Baker,12.5,1.0,0.0,1.7,0.7,0.1,0.5,70.0,0.2,30.0,0.7,0.7,0.3,0.2,15.1,6.2,0.9,3.59,3.31,0.2,0.0,0.3,4643.7,0.46,0.42,4.79,WAS
429,Rondae Hollis-Jefferson,31.4,1.6,0.1,3.3,4.3,2.3,1.1,26.0,0.2,5.5,1.0,0.7,1.0,0.1,43.4,21.6,1.5,2.03,1.15,2.2,1.7,2.8,8536.9,0.89,0.73,4.32,BKN
430,Royce O'Neale,19.4,1.5,0.2,3.3,2.8,0.9,1.4,48.9,0.3,10.9,1.9,1.9,0.4,0.2,25.5,17.3,0.9,2.11,1.48,0.1,0.0,0.5,8419.7,0.87,0.73,4.37,UTA
431,Rudy Gay,34.4,2.6,0.2,4.2,4.8,2.9,1.1,22.5,0.3,5.5,2.4,2.2,3.7,0.4,49.2,24.8,2.3,2.85,1.71,0.9,2.4,1.6,10352.2,1.06,0.9,4.18,SAS
432,Rudy Gobert,45.6,2.0,0.3,3.2,0.7,0.3,0.2,31.5,0.0,5.6,0.1,-,0.0,-,59.6,32.6,1.5,1.47,0.36,4.8,0.7,12.2,12466.7,1.28,1.09,4.19,UTA
433,Russell Westbrook,60.1,10.8,0.6,20.8,18.4,5.9,9.7,52.8,2.8,15.4,2.4,2.3,8.4,2.9,91.2,27.0,7.7,5.07,4.71,1.1,1.8,1.9,13406.4,1.35,1.19,3.97,OKC
434,Ryan Anderson,21.7,0.8,0.1,1.6,0.8,0.3,0.3,33.3,0.1,9.5,1.5,1.5,0.7,0.1,25.7,14.3,0.6,1.5,0.43,0.4,0.4,0.5,5072.8,0.55,0.41,4.2,MIA
435,Ryan Arcidiacono,34.2,3.3,0.2,5.6,5.2,1.7,2.9,56.4,0.8,14.6,2.0,2.0,1.6,0.7,42.1,17.6,3.1,4.41,4.03,0.2,0.0,0.4,10088.3,1.03,0.88,4.45,CHI
436,Ryan Broekhoff,9.7,0.5,0.1,1.0,0.9,0.2,0.5,62.2,0.2,18.9,2.0,2.0,0.4,0.2,13.6,9.4,0.4,1.66,0.78,0.2,0.0,0.3,4511.2,0.49,0.37,4.39,DAL
437,Salah Mejri,16.5,1.0,0.0,1.4,0.4,0.2,0.0,7.7,0.0,7.7,0.9,0.7,0.1,0.1,21.1,12.1,0.5,1.53,0.34,1.6,0.1,2.4,4315.8,0.44,0.38,4.12,DAL
438,Sam Dekker,16.9,1.0,0.0,1.8,2.0,1.2,0.5,27.8,0.1,4.4,1.2,1.0,0.6,0.3,23.6,13.5,0.7,1.84,1.03,0.5,0.2,1.9,7170.6,0.74,0.62,4.56,WAS
439,Scott Machado,7.0,0.8,0.3,1.5,2.3,0.3,1.5,66.7,0.5,22.2,0.0,0.0,0.5,0.3,9.3,3.8,0.7,4.39,4.24,0.0,0.0,0.3,1987.5,0.21,0.16,4.22,LAL
440,Semi Ojeleye,9.8,0.4,0.1,0.8,0.8,0.3,0.2,27.7,0.0,4.3,1.5,1.4,0.4,0.2,13.7,7.3,0.4,1.74,0.78,0.3,0.1,0.7,4399.8,0.45,0.38,4.38,BOS
441,Serge Ibaka,32.4,1.3,0.4,2.3,1.5,0.9,0.4,23.4,0.1,7.2,5.3,2.2,0.9,0.1,47.1,28.1,1.3,1.63,0.44,3.9,2.0,5.6,10211.6,1.04,0.9,4.0,TOR
442,Seth Curry,16.5,0.9,0.4,2.1,2.2,1.1,0.8,36.1,0.1,4.8,2.3,2.1,2.9,1.3,24.7,16.5,1.5,3.53,2.99,0.1,0.0,0.2,7493.4,0.78,0.64,4.18,POR
443,Shabazz Napier,25.0,2.6,0.3,5.1,5.4,2.2,2.1,37.8,0.6,10.2,1.7,1.6,3.7,2.3,36.6,18.1,2.8,4.55,4.08,0.3,0.0,0.4,6922.9,0.72,0.59,4.17,BKN
444,Shai Gilgeous-Alexander,40.6,3.3,0.4,6.2,10.4,4.0,4.6,44.7,1.2,11.8,1.5,1.4,3.3,0.3,53.8,19.7,3.8,4.24,3.92,0.2,0.2,0.6,11132.4,1.14,0.97,4.48,LAC
445,Shake Milton,11.8,0.9,0.1,1.8,1.6,0.6,0.9,53.1,0.2,9.4,2.1,2.0,0.9,0.2,16.8,10.6,0.8,2.92,2.27,0.2,0.0,0.5,5589.2,0.58,0.48,4.43,PHI
446,Shaquille Harrison,24.7,1.9,0.1,3.3,6.8,2.9,2.9,43.0,0.7,10.7,1.0,1.0,0.7,0.2,33.2,16.0,2.1,3.71,3.27,0.3,0.1,0.7,8562.3,0.85,0.78,4.64,CHI
447,Shaun Livingston,24.3,1.8,0.3,3.6,0.9,0.5,0.3,32.8,0.1,8.6,0.3,0.0,1.4,0.0,29.5,13.5,1.6,3.28,2.63,1.0,1.1,1.8,5988.8,0.61,0.53,4.25,GSW
448,Shelvin Mack,41.6,3.2,0.6,6.7,6.7,2.7,3.2,47.6,0.8,11.3,1.1,1.0,2.9,1.2,52.5,22.3,4.2,4.79,4.59,0.7,0.1,0.7,9239.5,0.99,0.76,4.48,CHA
449,Sindarius Thornwell,3.6,0.3,0.0,0.5,0.5,0.2,0.2,34.3,0.0,2.9,0.2,0.2,0.0,0.0,5.0,3.0,0.2,2.04,1.45,0.1,0.0,0.2,2122.9,0.2,0.2,4.51,LAC
450,Skal Labissiere,8.0,0.5,0.0,0.6,0.3,0.1,0.0,16.7,0.0,16.7,0.4,0.4,0.3,0.2,11.3,5.5,0.4,1.93,0.58,0.4,1.0,1.3,3303.6,0.34,0.29,4.31,POR
451,Solomon Hill,22.2,1.3,0.0,3.0,1.1,0.5,0.4,38.8,0.2,16.3,2.3,2.2,0.4,0.1,27.8,14.9,0.9,2.01,1.17,0.5,0.2,1.6,8029.6,0.81,0.71,4.28,NOP
452,Spencer Dinwiddie,39.7,4.6,0.6,9.3,14.1,5.6,5.6,39.7,1.0,7.1,2.3,2.2,4.3,3.2,58.5,25.4,5.1,5.2,4.65,0.3,0.0,0.3,10896.8,1.18,0.89,4.06,BKN
453,Stanley Johnson,25.2,1.3,0.2,2.8,3.5,1.6,1.2,35.3,0.3,8.2,2.7,2.6,1.2,0.5,34.5,18.3,1.5,2.56,1.72,0.3,0.2,0.6,7412.1,0.77,0.63,4.27,NOP
454,Stephen Curry,50.4,5.2,1.0,9.0,7.7,3.0,3.6,47.2,0.5,6.8,7.3,6.7,7.3,4.9,76.8,32.3,4.8,3.73,3.45,1.0,0.3,1.4,13479.7,1.38,1.18,4.34,GSW
455,Sterling Brown,15.8,1.4,0.1,2.6,2.7,1.2,1.0,38.3,0.3,10.4,2.1,2.0,0.8,0.5,22.8,14.1,0.9,2.48,1.68,0.2,0.1,0.9,7473.8,0.72,0.69,4.43,MIL
456,Steven Adams,30.5,1.5,0.3,2.9,0.1,0.0,0.0,18.2,0.0,0.0,0.6,0.0,0.2,0.0,45.0,25.2,1.3,1.69,0.52,5.1,5.0,12.6,12785.7,1.19,1.23,4.09,OKC
457,Svi Mykhailiuk,8.3,0.9,0.1,1.3,1.5,0.4,0.7,50.8,0.3,18.0,2.0,1.9,0.7,0.2,12.6,7.9,0.5,2.16,1.5,0.2,0.0,0.3,4401.8,0.45,0.39,4.46,DET
