PLAYER,TEAM,FREQ
T.J. McConnell,PHI,38.90%
T.J. Warren,PHX,16.20%
Taurean Prince,ATL,19.30%
Terrance Ferguson,OKC,3.90%
Terrence Ross,ORL,22.60%
Terry Rozier,BOS,21.80%
Theo Pinson,BKN,26.00%
Tim Frazier,NOP,24.20%
Tim Frazier,MIL,33.30%
Tim Hardaway Jr.,NYK,27.70%
Tim Hardaway Jr.,DAL,15.60%
Timothe Luwawu-Cabarrot,CHI,4.90%
Tobias Harris,LAC,26.60%
Tobias Harris,PHI,18.80%
Tomas Satoransky,WAS,23.70%
Tony Parker,CHA,56.60%
Tony Snell,MIL,5.60%
Torrey Craig,DEN,3.50%
Trae Young,ATL,45.60%
Trevor Ariza,WAS,10.60%
Trevor Ariza,PHX,11.70%
Trey Burke,NYK,49.40%
Trey Burke,DAL,40.30%
Trey Lyles,DEN,3.60%
Troy Brown Jr.,WAS,18.00%
Troy Daniels,PHX,16.10%
Tyler Dorsey,MEM,20.30%
Tyler Johnson,MIA,19.40%
Tyler Johnson,PHX,35.00%
Tyreke Evans,IND,33.50%
Tyrone Wallace,LAC,22.90%
Tyus Jones,MIN,41.90%
Victor Oladipo,IND,37.60%
Vince Carter,ATL,9.80%
Walt Lemon Jr.,CHI,43.60%
Wayne Ellington,DET,9.60%
Wayne Selden,CHI,18.10%
Wayne Selden,MEM,21.70%
Wes Iwundu,ORL,14.50%
Wesley Johnson,NOP,11.70%
Wesley Matthews,DAL,10.70%
Wesley Matthews,IND,10.70%
Will Barton,DEN,28.50%
Yogi Ferrell,SAC,34.20%
Zach LaVine,CHI,40.20%
